repseq	OTUS	domain	phylum	class	order	family	genus
692|1928	OTU_2750	acteria	Proteobacteria	etaproteobacteria	urkholderiales	unclassified_urkholderiales	unclassified_urkholderiales
692|2144	OTU_2749	acteria	Actinobacteria	Actinobacteria	Actinomycetales	unclassified_Actinomycetales	unclassified_Actinomycetales
692|2263	OTU_2744	acteria	Proteobacteria	etaproteobacteria	urkholderiales	unclassified_urkholderiales	unclassified_urkholderiales
692|2309	OTU_116	acteria	Proteobacteria	etaproteobacteria	urkholderiales	Comamonadaceae	Comamonas
692|2338	OTU_2746	acteria	Firmicutes	acilli	Lactobacillales	unclassified_Lactobacillales	unclassified_Lactobacillales
692|2551	OTU_2748	acteria	acteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cloacibacterium
692|2564	OTU_433	acteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga
692|490	OTU_2743	acteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	unclassified_Acetobacteraceae
692|915	OTU_2745	acteria	Proteobacteria	etaproteobacteria	urkholderiales	Comamonadaceae	Curvibacter
693|2	OTU_2751	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
693|259	OTU_2752	acteria	SR1	unclassified_SR1	unclassified_SR1	unclassified_SR1	SR1_genera_incertae_sedis
693|365	OTU_3485	acteria	Proteobacteria	Deltaproteobacteria	dellovibrionales	dellovibrionaceae	dellovibrio
695|102	OTU_2753	acteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Gemmata
695|105	OTU_2754	acteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	eijerinckiaceae	Methylocella
695|134	OTU_2765	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
695|141	OTU_2764	acteria	acteroidetes	unclassified_acteroidetes	unclassified_acteroidetes	unclassified_acteroidetes	unclassified_acteroidetes
695|144	OTU_2763	acteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
695|146	OTU_2762	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
695|155	OTU_2770	acteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Diplorickettsia
695|227	OTU_2769	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
695|244	OTU_2758	acteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	unclassified_Verrucomicrobiaceae
695|371	OTU_2771	acteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae
695|378	OTU_2772	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root
695|403	OTU_2757	acteria	Parcubacteria	unclassified_Parcubacteria	unclassified_Parcubacteria	unclassified_Parcubacteria	Parcubacteria_genera_incertae_sedis
695|405	OTU_2756	acteria	acteroidetes	Cytophagia	Cytophagales	unclassified_Cytophagales	unclassified_Cytophagales
695|406	OTU_2755	acteria	Proteobacteria	unclassified_Proteobacteria	unclassified_Proteobacteria	unclassified_Proteobacteria	unclassified_Proteobacteria
